id,titulo,catalogo,sjr,q,total citas,url,subjects,publisher,issn,widget
EuropeanJournalofPsychotraumatology,European Journal of Psychotraumatology,journal,1.884,Q1,477,https://www.scimagojr.com/journalsearch.php?q=21100394256&tip=sid&clean=0,[{'Medicine': ['Psychiatry and Mental Health']}],Taylor and Francis Ltd.,['20008066'],"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100394256&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100394256"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
AmericanJournalofClinicalNutrition,American Journal of Clinical Nutrition,journal,1.883,Q1,945,https://www.scimagojr.com/journalsearch.php?q=29990&tip=sid&clean=0,"[{'Medicine': ['Medicine (miscellaneous)']}, {'Nursing': ['Nutrition and Dietetics']}]",Elsevier B.V.,"['00029165', '19383207']","<a href=""https://www.scimagojr.com/journalsearch.php?q=29990&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=29990"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
ACMTransactionsonIntelligentSystemsandTechnology,ACM Transactions on Intelligent Systems and Technology,journal,1.882,Q1,258,https://www.scimagojr.com/journalsearch.php?q=19700190323&tip=sid&clean=0,"[{'Computer Science': ['Artificial Intelligence']}, {'Mathematics': ['Theoretical Computer Science']}]",Association for Computing Machinery (ACM),"['21576904', '21576912']","<a href=""https://www.scimagojr.com/journalsearch.php?q=19700190323&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=19700190323"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
ActaPharmacologicaSinica,Acta Pharmacologica Sinica,journal,1.882,Q1,633,https://www.scimagojr.com/journalsearch.php?q=19403&tip=sid&clean=0,"[{'Medicine': ['Medicine (miscellaneous)', 'Pharmacology (medical)']}, {'Pharmacology, Toxicology and Pharmaceutics': ['Pharmacology']}]",Nature Publishing Group,"['16714083', '17457254']","<a href=""https://www.scimagojr.com/journalsearch.php?q=19403&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=19403"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
ScienceChinaInformationSciences,Science China Information Sciences,journal,1.882,Q1,608,https://www.scimagojr.com/journalsearch.php?q=19600161832&tip=sid&clean=0,[{'Computer Science': ['Computer Science (miscellaneous)']}],Science China Press,"['1674733X', '18691919']","<a href=""https://www.scimagojr.com/journalsearch.php?q=19600161832&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=19600161832"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
APLPhotonics,APL Photonics,journal,1.88,Q1,400,https://www.scimagojr.com/journalsearch.php?q=21100879732&tip=sid&clean=0,"[{'Computer Science': ['Computer Networks and Communications']}, {'Physics and Astronomy': ['Atomic and Molecular Physics, and Optics']}]",American Institute of Physics Inc.,['23780967'],"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100879732&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100879732"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
"JournalofMoney,CreditandBanking","Journal of Money, Credit and Banking",journal,1.88,Q1,250,https://www.scimagojr.com/journalsearch.php?q=17557&tip=sid&clean=0,"[{'Business, Management and Accounting': ['Accounting']}, {'Economics, Econometrics and Finance': ['Economics and Econometrics', 'Finance']}]",Wiley-Blackwell,"['00222879', '15384616']","<a href=""https://www.scimagojr.com/journalsearch.php?q=17557&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=17557"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
ReviewsinPhysics,Reviews in Physics,journal,1.879,Q1,24,https://www.scimagojr.com/journalsearch.php?q=21100463549&tip=sid&clean=0,[{'Physics and Astronomy': ['Physics and Astronomy (miscellaneous)']}],Elsevier B.V.,['24054283'],"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100463549&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100463549"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
GreenChemistry,Green Chemistry,journal,1.878,Q1,2438,https://www.scimagojr.com/journalsearch.php?q=24069&tip=sid&clean=0,"[{'Environmental Science': ['Environmental Chemistry', 'Pollution']}]",Royal Society of Chemistry,"['14639262', '14639270']","<a href=""https://www.scimagojr.com/journalsearch.php?q=24069&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=24069"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
JournalofPositivePsychology,Journal of Positive Psychology,journal,1.878,Q1,231,https://www.scimagojr.com/journalsearch.php?q=5800207373&tip=sid&clean=0,[{'Psychology': ['Psychology (miscellaneous)']}],Routledge,"['17439760', '17439779']","<a href=""https://www.scimagojr.com/journalsearch.php?q=5800207373&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=5800207373"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
npjBiofilmsandMicrobiomes,npj Biofilms and Microbiomes,journal,1.878,Q1,249,https://www.scimagojr.com/journalsearch.php?q=21100852120&tip=sid&clean=0,"[{'Biochemistry, Genetics and Molecular Biology': ['Biotechnology']}, {'Immunology and Microbiology': ['Applied Microbiology and Biotechnology', 'Microbiology']}]",Nature Publishing Group,['20555008'],"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100852120&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100852120"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
PartyPolitics,Party Politics,journal,1.878,Q1,275,https://www.scimagojr.com/journalsearch.php?q=67863&tip=sid&clean=0,[{'Social Sciences': ['Sociology and Political Science']}],SAGE Publications Ltd,"['13540688', '14603683']","<a href=""https://www.scimagojr.com/journalsearch.php?q=67863&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=67863"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
PolicyStudiesJournal,Policy Studies Journal,journal,1.878,Q1,122,https://www.scimagojr.com/journalsearch.php?q=22786&tip=sid&clean=0,"[{'Environmental Science': ['Management, Monitoring, Policy and Law']}, {'Social Sciences': ['Public Administration', 'Sociology and Political Science']}]",Wiley-Blackwell Publishing Ltd,"['0190292X', '15410072']","<a href=""https://www.scimagojr.com/journalsearch.php?q=22786&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=22786"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
FunctionalEcology,Functional Ecology,journal,1.877,Q1,682,https://www.scimagojr.com/journalsearch.php?q=18002&tip=sid&clean=0,"[{'Agricultural and Biological Sciences': ['Ecology, Evolution, Behavior and Systematics']}]",Wiley-Blackwell Publishing Ltd,"['02698463', '13652435']","<a href=""https://www.scimagojr.com/journalsearch.php?q=18002&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=18002"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
